# This text will be overwritten whenever the script is run!
# Each line begins with the center_node and the following numbers are how many zeroes
# are in it and its neighbors.
# This data should be importable by Python using csv.reader()

# Example:
# TRENT,"[# of zeroe in TRENT, # of zeroes in neighbor 1, # zeroes in neighbor 2, ...]"

CEL_CELANEG1,"[35536, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 2, 2, 1, 1, 0, 0, 0, 0, 2]"
TC_TCHP1,"[2, 0, 2, 15265, 15265, 1, 0, 0, 0, 744, 744, 0, 0, 0, 3287, 3, 0, 46933, 33856, 45350, 17516, 17515, 1, 1, 2, 0, 0, 0, 36376, 0, 0, 0, 0, 0, 0, 15263, 15263, 3, 2, 1, 0, 2, 2, 2, 2, 27810, 40407, 0, 0, 33016, 33016, 3, 20755, 1, 1, 42015, 1, 20255, 20255, 20255, 20255, 20256, 20256, 20257, 26468, 32852, 32852, 32852, 34627, 32852, 1, 744, 744, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 5313, 5313, 5313, 5313]"
THW_THWGT_1,"[5313, 2, 3, 2, 2, 1, 0, 0, 1]"
BTE_BTE_G3,"[2, 0, 0, 0, 0]"
BTE_BTE_G2,"[0, 0, 0, 0, 0]"
BTE_BTE_G1,"[0, 0, 0, 0, 0]"
BTE_BTE_G4,"[0, 0, 0, 0, 0]"
KMCHI_1CT101,"[0, 0, 744, 744, 0, 0, 0, 0, 0]"
TGCCS_UNIT4,"[0, 0, 744, 0, 0, 0, 0, 0]"
DECKER_DPG2,"[0, 0, 745, 745, 1968, 0, 0, 0, 0, 744, 5543, 744, 744, 744, 745, 1, 0, 0, 0]"
DECKER_DPG1,"[0, 1, 745, 745, 1968, 0, 0, 0, 0, 744, 5543, 744, 744, 744, 745, 1, 0, 0, 0]"
GUADG_STM5,"[0, 0, 744, 744, 0, 0, 0, 0, 0, 0, 0, 0]"
WCPP_CT1,"[0, 10, 10, 10, 4353, 4353, 4353, 10, 10, 10]"
WCPP_CT2,"[10, 10, 10, 10, 4353, 4353, 4353, 10, 10, 10]"
AMO_AMOCO_1,"[10, 0, 0, 0, 0, 0, 0, 0, 1]"
AMO_AMOCO_2,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
AMO_AMOCO_5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
PSA_PSA_G7,"[0, 1, 0, 0, 29321, 1, 0, 29321]"
PSA_PSA_G6,"[1, 29321, 0, 0, 29321, 1, 0, 29321]"
PSA_PSA_G5,"[1, 0, 0, 0, 29321, 1, 0, 29321]"
PSA_PSA_G4,"[1, 1, 0, 0, 29321, 1, 0, 29321]"
PSA_PSA_G3,"[1, 29321, 0, 0, 29321, 1, 0, 29321]"
PSA_PSA_G2,"[1, 0, 0, 0, 29321, 1, 0, 29321]"
PSA_PSA_G1,"[1, 0, 0, 0, 29321, 1, 0, 29321]"
LPCCS_CT22,"[1, 1, 1, 0, 0, 0, 744, 745, 0, 0, 0, 1, 1]"
PC_SOUTH_3,"[0, 3, 1, 3, 2]"
